 Id Pedido ; Número pedido VTEX ;Id do Seller ;Nome do Seller;Status Pedido; Data Pedido ; Data de Entrega ; Data do pagamento ; Conciliação ;Início Ciclo;Fim Ciclo; Total Pedido ; Valor Produtos ; Valor Frete ; % Comissão sobre produto ; % Comissão sobre frete ; Tipo Pagamento ; Total Comissão ; Comissão Produto ; Comissão Frete ; Total Repasse ; Repasse Produto ; Repasse Frete ; Campanha ; Vigência ;Descrição  Campanha
"CYCLE.orderData.id;";CYCLE.marketplaceData.marketPlaceId;CYCLE.tenant;CYCLE.sellerName;ORDER.orderData.orderStatus;ORDER.createDate;ORDER.deliveryData.deliveryDate;ORDER.orderData.approvalDate; FINANCIAL.financialCicleType;CYCLE.beginningOfCycle;CYCLE.endOfCycle;ORDER.orderValuesData.value;"(ORDER.items.quantityData.quantity * (ORDER.items.priceData.unitPrice - ORDER.items.priceData.discountUnit))
Obs.: Necessário somar esse cálculo para todos os itens do pedido";"ORDER.items.freightData.chargedValue
*Necessário somar esse cálculo para todos os itens do pedido";FINANCIAL.itensCommissionPercent;FINANCIAL.freightCommissionPercent;"ORDER.formsPayments.type, ORDER.formsPayments.card, ORDER.formsPayments.amountPlots
*Concatenar campos";FINANCIAL.totalCommissionValue;FINANCIAL.itensCommissionValue;"FINANCIAL.freightCommissionValue;";FINANCIAL.totalTransferSeller;Valor Produtos - Comissão Produto;Valor Frete - Comissão Frete;FINANCIAL.discounts.promotionId;CAMPAIGN.initialDate e CAMPAIGN.finalDate;CAMPAIGN.description
23;1532291799464-01;YSKY97446016589275;Unicpharma;Entregue;2025-05-15T10:04:48.683000;2025-05-26T14:27:00.000000;2025-05-15T10:03:54.000000;MONTHLY;2025-04-26T00:00:00;2025-05-25T00:00:00;72,29;51,7;20,59;15.0;15.000000000000002;CARTAO_CREDITO MASTERCARD 2x;10,84;7,76;3,09;61,45;43,94;17,5; ; ; 
